Date,Original,Train,Test,Valid
2005-09-11,34133.39,45870.22265625,,
2005-09-18,21378.82,31976.80859375,,
2005-09-25,18881.36,18311.7109375,,
2005-10-02,19187.17,21151.33984375,,
2005-10-09,20105.31,21597.53125,,
2005-10-16,19719.73,20918.193359375,,
2005-10-23,15048.35,18238.10546875,,
2005-10-30,10887.17,11350.60546875,,
2005-11-06,8869.915,8854.197265625,,
2005-11-13,7460.783333333334,8628.5859375,,
2005-11-20,6051.651666666667,7582.27734375,,
2005-11-27,4642.52,6015.6123046875,,
2005-12-04,4129.6900000000005,3688.751708984375,,
2005-12-11,4188.66,2946.832275390625,,
2005-12-18,3257.09,3511.37890625,,
2005-12-25,2796.652,2755.77978515625,,
2006-01-01,2412.0414285714287,2375.8447265625,,
2006-01-08,2032.6016666666667,2040.8616943359375,,
2006-01-15,1769.155,1775.1583251953125,,
2006-01-22,1462.1,1743.7293701171875,,
2006-01-29,1343.248,1285.055908203125,,
2006-02-05,1303.4483333333333,1180.5269775390625,,
2006-02-12,1195.3066666666666,1211.2078857421875,,
2006-02-19,1144.8733333333332,1092.8704833984375,,
2006-02-26,1079.5480000000002,1071.6929931640625,,
2006-03-05,1011.1033333333335,1007.7269287109375,,
2006-03-12,932.6400000000003,964.6969604492188,,
2006-03-19,1082.73,920.5852661132812,,
2006-03-26,1031.304,1084.6146240234375,,
2006-04-02,583.2900000000001,1022.8419189453125,,
2006-04-09,1061.4783333333332,525.9375610351562,,
2006-04-16,952.5519999999999,1100.2550048828125,,
2006-04-23,514.67,952.9430541992188,,
2006-04-30,846.0300000000001,472.302001953125,,
2006-05-07,992.594,912.918212890625,,
2006-05-14,749.058,936.3619995117188,,
2006-05-21,1073.256666666667,767.5248413085938,,
2006-05-28,1101.1616666666669,1144.300048828125,,
2006-06-04,1196.4966666666667,1031.14697265625,,
2006-06-11,3279.63,1216.5926513671875,,
2006-06-18,5014.82,3558.633056640625,,
2006-06-25,7550.7,5170.9140625,,
2006-07-02,4768.75,7769.447265625,,
2006-07-09,7804.93,4541.45751953125,,
2006-07-16,10721.43,7951.609375,,
2006-07-23,20658.09,11587.2734375,,
2006-07-30,23231.5,21886.333984375,,
2006-08-06,23603.98,24244.97265625,,
2006-08-13,27052.23,22884.71875,,
2006-08-20,26787.44,27738.697265625,,
2006-08-27,26631.19,27386.29296875,,
2006-09-03,33874.56,28514.3984375,,
2006-09-10,37009.9,35969.48046875,,
2006-09-17,36713.2,37576.13671875,,
2006-09-24,36268.63,37048.0703125,,
2006-10-01,27465.06,36456.50390625,,
2006-10-08,25957.35666666667,26417.986328125,,
2006-10-15,19319.7,26950.705078125,,
2006-10-22,17767.34,20253.90625,,
2006-10-29,16234.62,17590.7734375,,
2006-11-05,15592.81,16427.462890625,,
2006-11-12,11268.18,13730.125,,
2006-11-19,5448.37,9982.228515625,,
2006-11-26,4487.5,3460.3583984375,,
2006-12-03,4142.293333333332,3659.09326171875,,
2006-12-10,3628.2283333333326,3848.326171875,,
2006-12-17,3053.8416666666667,3340.785888671875,,
2006-12-24,2595.5333333333333,2260.377197265625,,
2006-12-31,2307.7140000000004,1104.3431396484375,,
2007-01-07,1613.8433333333332,1613.7205810546875,,
2007-01-14,1255.162,1422.0701904296875,,
2007-01-21,1221.1316666666667,1108.6737060546875,,
2007-01-28,1225.9333333333334,1104.1163330078125,,
2007-02-04,1179.755,1105.222412109375,,
2007-02-11,1118.821666666667,1101.135009765625,,
2007-02-18,1040.3550000000002,972.8558349609375,,
2007-02-25,1409.734,915.9447631835938,,
2007-03-04,1490.1200000000001,1417.4046630859375,,
2007-03-11,1445.325,1513.524658203125,,
2007-03-18,1285.635,1425.994873046875,,
2007-03-25,1210.371666666667,1270.3453369140625,,
2007-04-01,1153.5049999999999,1184.35009765625,,
2007-04-08,1207.3300000000002,1224.06396484375,,
2007-04-15,1373.3659999999998,1269.4593505859375,,
2007-04-22,1442.285,1402.8345947265625,,
2007-04-29,1355.1566666666665,1424.3370361328125,,
2007-05-06,1259.3674999999998,1323.9859619140625,,
2007-05-13,1161.715,1240.2554931640625,,
2007-05-20,1404.6499999999999,1166.970703125,,
2007-05-27,1675.3799999999999,1472.7567138671875,,
2007-06-03,2048.7299999999996,1745.8441162109375,,
2007-06-10,2039.58,2075.635498046875,,
2007-06-17,2263.84,2022.4713134765625,,
2007-06-24,4296.06,2249.606201171875,,
2007-07-01,7388.63,4540.873046875,,
2007-07-08,6429.705,7770.20654296875,,
2007-07-15,7012.5625,6391.3193359375,,
2007-07-22,7595.42,6989.1162109375,,
2007-07-29,26144.36,7764.76513671875,,
2007-08-05,37442.02,28198.845703125,,
2007-08-12,54216.79,39535.0546875,,
2007-08-19,41249.25,55182.1875,,
2007-08-26,42236.27,40120.03125,,
2007-09-02,41425.99,41281.671875,,
2007-09-09,39902.89,45575.78515625,,
2007-09-16,42390.63,42673.1015625,,
2007-09-23,46362.98,47125.703125,,
2007-09-30,39658.63,45732.56640625,,
2007-10-07,29938.67,37944.32421875,,
2007-10-14,30906.48,28711.6875,,
2007-10-21,22174.49,30789.7109375,,
2007-10-28,17731.2,21833.5,,
2007-11-04,16317.3,18029.8125,,
2007-11-11,9900.09,15834.5859375,,
2007-11-18,5859.81,6785.1982421875,,
2007-11-25,5291.5025000000005,4899.21435546875,,
2007-12-02,4723.195,3970.614501953125,,
2007-12-09,3979.5,3123.453857421875,,
2007-12-16,3612.6499999999996,3343.853271484375,,
2007-12-23,3092.4533333333334,2342.455078125,,
2007-12-30,2419.94,1749.2760009765625,,
2008-01-06,1956.625,1908.2750244140625,,
2008-01-13,1690.4350000000002,1786.34423828125,,
2008-01-20,1492.7780000000002,1502.824462890625,,
2008-01-27,1210.74,1362.511474609375,,
2008-02-03,1420.476,1077.3438720703125,,
2008-02-10,1441.5916666666665,1287.0177001953125,,
2008-02-17,1138.7533333333333,1323.839599609375,,
2008-02-24,1053.8780000000002,1017.2664184570312,,
2008-03-02,1032.5000000000002,1001.443115234375,,
2008-03-09,923.0316666666666,976.70751953125,,
2008-03-16,965.7783333333333,933.5983276367188,,
2008-03-23,1049.138333333333,1007.2872924804688,,
2008-03-30,649.27,1018.33349609375,,
2008-04-06,667.2083333333333,575.6101684570312,,
2008-04-13,990.2800000000001,662.1638793945312,,
2008-04-20,588.876,1027.828857421875,,
2008-04-27,750.195,551.3538208007812,,
2008-05-04,993.9739999999999,786.1190795898438,,
2008-05-11,657.7066666666668,986.0459594726562,,
2008-05-18,771.9483333333334,582.5700073242188,,
2008-05-25,1010.316,854.7081909179688,,
2008-06-01,1070.6060000000002,1013.2303466796875,,
2008-06-08,1141.33,1066.066650390625,,
2008-06-15,1725.27,1219.8277587890625,,
2008-06-22,2360.43,1748.6910400390625,,
2008-06-29,14881.01,2422.68408203125,,
2008-07-06,18644.99,16121.130859375,,
2008-07-13,26764.11,19187.953125,,
2008-07-20,27010.91,27030.037109375,,
2008-07-27,28101.0,27346.521484375,,
2008-08-03,32463.69,27748.05859375,,
2008-08-10,30951.99,35384.703125,,
2008-08-17,29805.96,32383.203125,,
2008-08-24,43258.81,31333.23046875,,
2008-08-31,49784.04,45383.8359375,,
2008-09-07,49564.03,50673.7109375,,
2008-09-14,41357.885,49900.984375,,
2008-09-21,31151.8425,40647.17578125,,
2008-09-28,20945.8,29469.109375,,
2008-10-05,30082.53,22442.9765625,,
2008-10-12,29784.07,33467.84765625,,
2008-10-19,18517.31,30805.5859375,,
2008-10-26,14360.985,15430.7626953125,,
2008-11-02,10204.66,11615.619140625,,
2008-11-09,8770.76,7165.6806640625,,
2008-11-16,5774.095,9349.689453125,,
2008-11-23,5497.172500000001,6582.6533203125,,
2008-11-30,5220.25,3330.30029296875,,
2008-12-07,4175.363333333335,3627.636962890625,,
2008-12-14,3463.3833333333328,2899.646728515625,,
2008-12-21,3141.5200000000004,2833.214111328125,,
2008-12-28,2706.2140000000004,2458.013427734375,,
2009-01-04,2029.9900000000005,2367.204345703125,,
2009-01-11,2132.204,1913.9913330078125,,
2009-01-18,1628.9499999999998,1947.4337158203125,,
2009-01-25,1506.8749999999998,1392.1983642578125,,
